date,close
2022-04-01,269.8
2022-04-04,270.4
2022-04-05,266.9
2022-04-06,260.6
2022-04-07,263.0
2022-04-08,263.2
2022-04-11,262.8
2022-04-12,259.7
2022-04-13,264.0
2022-04-14,265.5
2022-04-15,262.0
2022-04-18,265.0
2022-04-19,260.8
2022-04-20,261.4
2022-04-21,255.0
2022-04-22,250.3
2022-04-25,251.4
2022-04-26,247.6
2022-04-27,249.6
2022-04-28,253.5
2022-05-02,251.7
2022-05-06,251.5
2022-05-09,248.2
2022-05-10,249.1
2022-05-11,244.4
2022-05-12,240.9
2022-05-13,244.0
2022-05-16,244.9
2022-05-17,247.5
2022-05-18,244.5
2022-05-19,246.2
2022-05-20,244.8
2022-05-23,246.6
2022-05-24,244.9
2022-05-25,246.1
2022-05-26,247.8
2022-05-27,248.2
2022-05-30,250.0
2022-05-31,254.8
2022-06-01,256.5
2022-06-02,259.8
2022-06-03,262.6
2022-06-06,261.5
2022-06-07,258.1
2022-06-08,264.9
2022-06-09,264.0
2022-06-10,258.3
2022-06-13,255.1
2022-06-14,253.6
2022-06-15,254.1
2022-06-16,255.0
2022-06-17,254.1
2022-06-20,254.7
2022-06-21,254.0
2022-06-22,253.8
2022-06-23,253.9
2022-06-24,259.0
2022-06-27,259.2
2022-06-28,259.4
2022-06-29,257.4
2022-06-30,255.5
2022-07-01,258.2
2022-07-04,257.3
2022-07-05,249.6
2022-07-06,247.8
2022-07-07,247.7
2022-07-08,247.6
2022-07-11,250.4
2022-07-12,243.8
2022-07-13,241.8
2022-07-14,241.5
2022-07-15,242.1
2022-07-19,239.5
2022-07-20,237.7
2022-07-21,236.5
2022-07-22,237.9
2022-07-25,239.6
2022-07-26,238.2
2022-07-27,240.0
2022-07-28,237.0
2022-07-29,232.3
2022-08-01,227.0
2022-08-02,229.6
2022-08-03,227.6
2022-08-04,227.7
2022-08-05,232.6
2022-08-08,233.9
2022-08-09,231.0
2022-08-10,228.7
2022-08-12,227.6
2022-08-15,223.8
2022-08-16,228.5
2022-08-17,230.0
2022-08-18,226.0
2022-08-19,228.2
2022-08-22,227.7
2022-08-23,226.7
2022-08-24,224.8
2022-08-25,226.2
2022-08-26,228.5
2022-08-29,226.4
2022-08-30,226.1
2022-08-31,218.8
2022-09-01,216.6
2022-09-02,217.5
2022-09-05,214.8
2022-09-06,214.8
2022-09-07,216.2
2022-09-08,217.7
2022-09-09,221.2
2022-09-12,222.9
2022-09-13,224.2
2022-09-14,226.4
2022-09-15,223.9
2022-09-16,227.5
2022-09-20,226.3
2022-09-21,228.6
2022-09-22,224.6
2022-09-26,231.5
2022-09-27,227.9
2022-09-28,227.6
2022-09-29,228.3
2022-09-30,229.0
2022-10-03,228.5
2022-10-04,229.9
2022-10-05,232.0
2022-10-06,234.5
2022-10-07,230.0
2022-10-11,230.0
2022-10-12,228.8
2022-10-13,229.4
2022-10-14,230.1
2022-10-17,229.4
2022-10-18,228.0
2022-10-19,225.4
2022-10-20,221.2
2022-10-21,219.9
2022-10-24,222.6
2022-10-25,219.3
2022-10-26,216.0
2022-10-27,210.4
2022-10-28,209.0
2022-10-31,214.9
2022-11-01,212.6
2022-11-02,213.5
2022-11-04,214.5
2022-11-07,219.5
2022-11-08,218.1
2022-11-09,216.1
2022-11-10,217.0
2022-11-11,217.5
2022-11-14,220.1
2022-11-15,216.9
2022-11-16,217.9
2022-11-17,217.2
2022-11-18,211.9
2022-11-21,215.2
2022-11-22,214.6
2022-11-24,212.3
2022-11-25,214.0
2022-11-28,213.8
2022-11-29,215.5
2022-11-30,217.8
2022-12-01,216.7
2022-12-02,217.7
2022-12-05,220.7
2022-12-06,224.5
2022-12-07,227.7
2022-12-08,230.0
2022-12-09,229.7
2022-12-12,229.0
2022-12-13,231.8
2022-12-14,230.1
2022-12-15,230.5
2022-12-16,227.8
2022-12-19,223.1
2022-12-20,223.1
2022-12-21,224.6
2022-12-22,220.0
2022-12-23,217.1
2022-12-26,220.4
2022-12-27,220.4
2022-12-28,219.0
2022-12-29,218.0
2022-12-30,222.0
2023-01-04,221.8
2023-01-05,220.8
2023-01-06,220.6
2023-01-10,225.0
2023-01-11,226.0
2023-01-12,223.7
2023-01-13,222.6
2023-01-16,227.1
2023-01-17,229.1
2023-01-18,227.5
2023-01-19,228.3
2023-01-20,230.3
2023-01-23,232.2
2023-01-24,233.1
2023-01-25,236.0
2023-01-26,235.5
2023-01-27,232.9
2023-01-30,232.3
2023-01-31,229.0
2023-02-01,225.6
2023-02-02,226.3
2023-02-03,227.3
2023-02-06,226.5
2023-02-07,226.1
2023-02-08,227.4
2023-02-09,224.5
2023-02-10,222.6
2023-02-13,220.0
2023-02-14,219.2
2023-02-15,218.8
2023-02-16,222.3
2023-02-17,222.7
2023-02-20,225.0
2023-02-21,225.7
2023-02-22,225.0
2023-02-24,222.8
2023-02-27,224.2
2023-02-28,227.5
2023-03-01,231.0
2023-03-02,229.8
2023-03-03,225.0
2023-03-06,225.0
2023-03-07,222.5
2023-03-08,221.6
2023-03-09,219.2
2023-03-10,217.7
2023-03-13,215.0
2023-03-14,213.6
2023-03-15,207.9
2023-03-16,208.5
2023-03-17,205.0
2023-03-20,204.4
2023-03-22,204.1
2023-03-23,204.0
2023-03-24,210.5
2023-03-27,210.0
2023-03-28,208.3
2023-03-29,209.1
2023-03-30,210.0
2023-03-31,213.8
2023-04-03,210.5
2023-04-04,211.0
2023-04-05,206.5
2023-04-06,204.6
2023-04-07,204.3
2023-04-10,205.0
2023-04-11,206.8
2023-04-12,206.5
2023-04-13,209.8
2023-04-14,210.8
2023-04-17,211.0
2023-04-18,212.3
2023-04-19,212.8
2023-04-20,210.1
2023-04-21,205.8
2023-04-24,212.0
2023-04-25,211.4
2023-04-26,207.7
2023-04-27,208.7
2023-04-28,212.8
2023-05-01,213.2
2023-05-02,213.6
2023-05-08,212.0
2023-05-09,211.1
2023-05-10,209.5
2023-05-11,208.9
2023-05-12,212.5
2023-05-15,210.4
2023-05-16,212.0
2023-05-17,212.0
2023-05-18,212.7
2023-05-19,209.7
2023-05-22,208.9
2023-05-23,206.3
2023-05-24,207.0
2023-05-25,209.5
2023-05-26,210.7
2023-05-29,209.0
2023-05-30,208.0
2023-05-31,208.2
2023-06-01,209.8
2023-06-02,210.7
2023-06-05,210.6
2023-06-06,214.2
2023-06-07,212.9
2023-06-08,212.0
2023-06-09,209.8
2023-06-12,210.5
2023-06-13,209.7
2023-06-14,210.7
2023-06-15,211.3
2023-06-16,210.2
2023-06-19,208.5
2023-06-20,206.5
2023-06-21,206.5
2023-06-22,206.0
2023-06-23,204.5
2023-06-26,205.6
2023-06-27,205.6
2023-06-28,205.3
2023-06-29,206.0
2023-06-30,206.0
2023-07-03,205.3
2023-07-04,205.2
2023-07-05,205.6
2023-07-06,206.0
2023-07-07,205.1
2023-07-10,204.2
2023-07-11,204.2
2023-07-12,205.0
2023-07-13,205.2
2023-07-14,202.3
2023-07-18,202.9
2023-07-19,203.3
2023-07-20,202.0
2023-07-21,201.9
2023-07-24,201.5
2023-07-25,201.5
2023-07-26,200.4
2023-07-27,199.1
2023-07-28,200.5
2023-07-31,199.7
2023-08-01,198.0
2023-08-02,197.9
2023-08-03,197.5
2023-08-04,197.0
2023-08-07,196.2
2023-08-08,195.9
2023-08-09,196.5
2023-08-10,194.8
2023-08-14,195.2
2023-08-15,195.6
2023-08-16,196.3
2023-08-17,198.6
2023-08-18,200.1
2023-08-21,200.7
2023-08-22,203.4
2023-08-23,207.0
2023-08-24,212.0
2023-08-25,214.6
2023-08-28,212.2
2023-08-29,213.2
2023-08-30,214.2
2023-08-31,224.2
2023-09-01,229.2
2023-09-04,232.0
2023-09-05,234.0
2023-09-06,229.8
2023-09-07,233.9
2023-09-08,234.9
2023-09-11,234.9
2023-09-12,232.4
2023-09-13,233.8
2023-09-14,236.0
2023-09-15,235.4
2023-09-19,233.7
2023-09-20,234.3
2023-09-21,234.6
2023-09-22,234.6
2023-09-25,235.2
2023-09-26,235.3
2023-09-27,234.5
2023-09-28,235.3
2023-09-29,236.8
2023-10-02,232.5
2023-10-03,233.7
2023-10-04,229.7
2023-10-05,231.0
2023-10-06,232.0
2023-10-10,236.0
2023-10-11,249.5
2023-10-12,256.9
2023-10-13,259.6
2023-10-16,265.2
2023-10-17,268.5
2023-10-18,266.2
2023-10-19,259.8
2023-10-20,255.9
2023-10-23,256.5
2023-10-24,263.4
2023-10-25,261.7
2023-10-26,258.8
2023-10-27,256.3
2023-10-30,255.2
2023-10-31,256.2
2023-11-01,258.6
2023-11-02,257.9
2023-11-06,257.9
2023-11-07,258.8
2023-11-08,262.5
2023-11-09,264.7
2023-11-10,267.7
2023-11-13,269.8
2023-11-14,270.4
2023-11-15,273.9
2023-11-16,266.2
2023-11-17,268.6
2023-11-20,261.0
2023-11-21,260.0
2023-11-22,262.9
2023-11-24,270.1
2023-11-27,270.7
2023-11-28,268.0
2023-11-29,263.0
2023-11-30,256.7
2023-12-01,247.7
2023-12-04,242.7
2023-12-05,243.5
2023-12-06,240.6
2023-12-07,237.5
2023-12-08,242.5
2023-12-11,242.5
2023-12-12,238.0
